ID Sector,Sector,ID University,University,ID Year,Year,Completions,Slug University,Geography,ID Geography,Slug Geography
2,"Private not-for-profit, 4-year or above","169363","Concordia University-Ann Arbor",2017,"2017",158,"concordia-university-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
1,"Public, 4-year or above","170976","University of Michigan-Ann Arbor",2017,"2017",14075,"university-of-michigan-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
1,"Public, 4-year or above","170976","University of Michigan-Ann Arbor",2016,"2016",14000,"university-of-michigan-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
2,"Private not-for-profit, 4-year or above","169363","Concordia University-Ann Arbor",2016,"2016",111,"concordia-university-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
1,"Public, 4-year or above","170976","University of Michigan-Ann Arbor",2015,"2015",14186,"university-of-michigan-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
2,"Private not-for-profit, 4-year or above","169363","Concordia University-Ann Arbor",2015,"2015",114,"concordia-university-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
1,"Public, 4-year or above","170976","University of Michigan-Ann Arbor",2014,"2014",14132,"university-of-michigan-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
2,"Private not-for-profit, 4-year or above","169363","Concordia University-Ann Arbor",2014,"2014",91,"concordia-university-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
1,"Public, 4-year or above","170976","University of Michigan-Ann Arbor",2013,"2013",13862,"university-of-michigan-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
2,"Private not-for-profit, 4-year or above","169363","Concordia University-Ann Arbor",2013,"2013",179,"concordia-university-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
1,"Public, 4-year or above","170976","University of Michigan-Ann Arbor",2012,"2012",13159,"university-of-michigan-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
2,"Private not-for-profit, 4-year or above","169363","Concordia University-Ann Arbor",2012,"2012",190,"concordia-university-ann-arbor","Ann Arbor, MI","16000US2603000","ann-arbor-mi"
